FREQ-A	TRACE-A	FREQ-B	TRACE-B
7950.000001	-75.905	7950.000001	-73.761
7952.727273	-76.328	7952.727273	-73.602
7955.454546	-75.928	7955.454546	-73.824
7958.181819	-77.083	7958.181819	-73.869
7960.909091	-76.515	7960.909091	-73.32
7963.636364	-76.276	7963.636364	-74.172
7966.363637	-76.496	7966.363637	-73.353
7969.09091	-76.308	7969.09091	-74.082
7971.818182	-75.003	7971.818182	-73.364
7974.545455	-76.494	7974.545455	-73.79
7977.272728	-76.487	7977.272728	-73.336
7980.000001	-76.091	7980.000001	-73.636
7982.727273	-75.011	7982.727273	-73.546
7985.454546	-75.942	7985.454546	-73.364
7988.181819	-76.098	7988.181819	-72.675
7990.909091	-75.127	7990.909091	-73.615
7993.636364	-75.536	7993.636364	-73.488
7996.363637	-76.516	7996.363637	-73.04
7999.09091	-74.429	7999.09091	-72.492
8001.818182	-75.54	8001.818182	-73.517
8004.545455	-75.764	8004.545455	-73.135
8007.272728	-76.485	8007.272728	-73.002
8010.000001	-74.948	8010.000001	-72.585
8012.727273	-75.817	8012.727273	-72.806
8015.454546	-75.709	8015.454546	-72.821
8018.181819	-76.034	8018.181819	-73.72
8020.909091	-75.335	8020.909091	-72.596
8023.636364	-75.752	8023.636364	-72.956
8026.363637	-75.037	8026.363637	-72.887
8029.09091	-75.841	8029.09091	-72.919
8031.818182	-75.821	8031.818182	-73.328
8034.545455	-76.007	8034.545455	-73.019
8037.272728	-75.221	8037.272728	-72.463
8040.000001	-76.04	8040.000001	-72.647
8042.727273	-75.271	8042.727273	-72.737
8045.454546	-76.593	8045.454546	-72.368
8048.181819	-75.809	8048.181819	-72.669
8050.909091	-75.92	8050.909091	-73.268
8053.636364	-75.799	8053.636364	-73.019
8056.363637	-76.149	8056.363637	-72.842
8059.09091	-75.309	8059.09091	-72.831
8061.818182	-75.393	8061.818182	-73.635
8064.545455	-75.187	8064.545455	-73.213
8067.272728	-76.228	8067.272728	-73.364
8070.000001	-75.896	8070.000001	-73.319
8072.727273	-76.504	8072.727273	-73.519
8075.454546	-75.496	8075.454546	-74.077
8078.181819	-75.518	8078.181819	-73.203
8080.909091	-75.515	8080.909091	-73.741
8083.636364	-75.895	8083.636364	-73.782
8086.363637	-75.976	8086.363637	-73.495
8089.09091	-76.02	8089.09091	-73.406
8091.818182	-75.628	8091.818182	-73.439
8094.545455	-76.331	8094.545455	-74.363
8097.272728	-76.154	8097.272728	-73.407
8100.000001	-77.134	8100.000001	-74.32
8102.727273	-76.405	8102.727273	-73.346
8105.454546	-76.444	8105.454546	-74.296
8108.181819	-76.469	8108.181819	-74.298
8110.909091	-77.068	8110.909091	-74.851
8113.636364	-77.177	8113.636364	-73.56
8116.363637	-77.255	8116.363637	-74.756
8119.09091	-76.242	8119.09091	-74.582
8121.818182	-77.148	8121.818182	-74.301
8124.545455	-76.499	8124.545455	-74.322
8127.272728	-77.035	8127.272728	-75.303
8130.000001	-77.23	8130.000001	-73.748
8132.727273	-76.901	8132.727273	-74.078
8135.454546	-76.383	8135.454546	-74.22
8138.181819	-77.509	8138.181819	-74.806
8140.909091	-77.117	8140.909091	-74.124
8143.636364	-77.543	8143.636364	-74.479
8146.363637	-77.166	8146.363637	-74.674
8149.09091	-77.402	8149.09091	-74.9
8151.818182	-77.199	8151.818182	-75.037
8154.545455	-77.808	8154.545455	-74.595
8157.272728	-77.441	8157.272728	-74.191
8160.000001	-77.432	8160.000001	-74.752
8162.727273	-76.829	8162.727273	-74.875
8165.454546	-77.654	8165.454546	-74.504
8168.181819	-76.712	8168.181819	-74.566
8170.909091	-78.513	8170.909091	-74.667
8173.636364	-76.686	8173.636364	-74.904
8176.363637	-77.927	8176.363637	-75.9
8179.09091	-78.011	8179.09091	-74.629
8181.818182	-77.803	8181.818182	-75.19
8184.545455	-77.058	8184.545455	-74.297
8187.272728	-77.506	8187.272728	-74.965
8190.000001	-77.155	8190.000001	-74.692
8192.727273	-77.092	8192.727273	-74.01
8195.454546	-77.041	8195.454546	-75.011
8198.181819	-77.818	8198.181819	-74.975
8200.909091	-77.423	8200.909091	-74.021
8203.636364	-78.028	8203.636364	-75.377
8206.363637	-77.197	8206.363637	-73.976
8209.09091	-76.895	8209.09091	-75.534
8211.818182	-76.985	8211.818182	-74.976
8214.545455	-76.829	8214.545455	-74.777
8217.272728	-76.253	8217.272728	-74.66
8220.000001	-77.133	8220.000001	-74.71
8222.727273	-76.946	8222.727273	-74.435
8225.454546	-77.612	8225.454546	-74.666
8228.181819	-77.159	8228.181819	-74.545
8230.909091	-77.711	8230.909091	-74.84
8233.636364	-76.95	8233.636364	-75.021
