TRACE-A	FREQ-A	TRACE-B	FREQ-B	TRACE-C	FREQ-C
-85.454	7712.727273	-86.181	7712.727273	-84.128	7712.727273
-84.92	7716.363637	-85.935	7716.363637	-84.503	7716.363637
-85.119	7720.000001	-85.939	7720.000001	-84.376	7720.000001
-85.016	7723.636364	-85.495	7723.636364	-83.614	7723.636364
-84.802	7727.272728	-85.447	7727.272728	-84.286	7727.272728
-84.802	7730.909091	-85.851	7730.909091	-83.192	7730.909091
-84.891	7734.545455	-85.821	7734.545455	-82.722	7734.545455
-84.407	7738.181819	-85.503	7738.181819	-83.071	7738.181819
-83.938	7741.818182	-84.332	7741.818182	-82.651	7741.818182
-83.991	7745.454546	-84.137	7745.454546	-82.474	7745.454546
-84.151	7749.09091	-84.825	7749.09091	-82.209	7749.09091
-83.973	7752.727273	-84.505	7752.727273	-82.642	7752.727273
-83.214	7756.363637	-84.189	7756.363637	-82.027	7756.363637
-83.068	7760.000001	-83.619	7760.000001	-81.396	7760.000001
-82.94	7763.636364	-83.447	7763.636364	-81.035	7763.636364
-82.934	7767.272728	-82.936	7767.272728	-81.225	7767.272728
-82.52	7770.909091	-83.651	7770.909091	-81.381	7770.909091
-82.303	7774.545455	-83.578	7774.545455	-81.173	7774.545455
-82.872	7778.181819	-83.624	7778.181819	-81.776	7778.181819
-83.117	7781.818182	-83.645	7781.818182	-81.11	7781.818182
-82.589	7785.454546	-83.786	7785.454546	-80.556	7785.454546
-82.797	7789.09091	-83.507	7789.09091	-80.815	7789.09091
-82.546	7792.727273	-83.716	7792.727273	-80.282	7792.727273
-83.074	7796.363637	-83.187	7796.363637	-80.175	7796.363637
-82.463	7800.000001	-83.145	7800.000001	-80.378	7800.000001
-82.229	7803.636364	-83.074	7803.636364	-79.64	7803.636364
-81.973	7807.272728	-82.245	7807.272728	-80.139	7807.272728
-82.034	7810.909091	-83.332	7810.909091	-80.015	7810.909091
-81.346	7814.545455	-82.248	7814.545455	-79.705	7814.545455
-81.523	7818.181819	-83.033	7818.181819	-79.829	7818.181819
-81.502	7821.818182	-82.101	7821.818182	-79.011	7821.818182
-81.631	7825.454546	-82.82	7825.454546	-79.399	7825.454546
-81.404	7829.09091	-82.984	7829.09091	-79.784	7829.09091
-80.63	7832.727273	-81.796	7832.727273	-79.294	7832.727273
-81.5	7836.363637	-82.721	7836.363637	-79.384	7836.363637
-80.956	7840.000001	-82.64	7840.000001	-79.558	7840.000001
-81.814	7843.636364	-82.33	7843.636364	-79.097	7843.636364
-81.17	7847.272728	-82.122	7847.272728	-79.33	7847.272728
-81.735	7850.909091	-82.117	7850.909091	-79.109	7850.909091
-81.406	7854.545455	-81.95	7854.545455	-79.152	7854.545455
-81.228	7858.181819	-82.232	7858.181819	-78.642	7858.181819
-81.029	7861.818182	-82.17	7861.818182	-78.843	7861.818182
-81.325	7865.454546	-81.514	7865.454546	-79.081	7865.454546
-80.876	7869.09091	-82.077	7869.09091	-78.57	7869.09091
-81.397	7872.727273	-81.743	7872.727273	-78.828	7872.727273
-80.991	7876.363637	-81.774	7876.363637	-78.298	7876.363637
-81.062	7880.000001	-82.561	7880.000001	-78.4	7880.000001
-80.24	7883.636364	-81.447	7883.636364	-78.822	7883.636364
-81.17	7887.272728	-82.362	7887.272728	-79.332	7887.272728
-81.174	7890.909091	-81.858	7890.909091	-78.945	7890.909091
-80.663	7894.545455	-82.294	7894.545455	-79.603	7894.545455
-80.876	7898.181819	-82.173	7898.181819	-79.665	7898.181819
-81.325	7901.818182	-82.877	7901.818182	-79.143	7901.818182
-81.736	7905.454546	-82.475	7905.454546	-79.222	7905.454546
-81.089	7909.09091	-82.511	7909.09091	-79.602	7909.09091
-81.347	7912.727273	-81.928	7912.727273	-78.649	7912.727273
-81.304	7916.363637	-82.39	7916.363637	-79.573	7916.363637
-81.193	7920.000001	-82.662	7920.000001	-79.279	7920.000001
-80.69	7923.636364	-82.316	7923.636364	-78.907	7923.636364
-81.043	7927.272728	-82.378	7927.272728	-79.608	7927.272728
-81.497	7930.909091	-82.235	7930.909091	-78.622	7930.909091
-81.377	7934.545455	-82.744	7934.545455	-78.912	7934.545455
-80.962	7938.181819	-82.438	7938.181819	-78.75	7938.181819
-80.266	7941.818182	-81.964	7941.818182	-78.925	7941.818182
-80.348	7945.454546	-82.469	7945.454546	-79.226	7945.454546
-82.053	7949.09091	-81.744	7949.09091	-78.766	7949.09091
-81.152	7952.727273	-82.365	7952.727273	-79.391	7952.727273
-81.256	7956.363637	-82.239	7956.363637	-79.587	7956.363637
-81.727	7960.000001	-82.231	7960.000001	-79.85	7960.000001
-81.543	7963.636364	-81.965	7963.636364	-79.743	7963.636364
-81.794	7967.272728	-81.76	7967.272728	-79.276	7967.272728
-81.48	7970.909091	-82.367	7970.909091	-79.001	7970.909091
-81.644	7974.545455	-82.335	7974.545455	-79.422	7974.545455
-80.608	7978.181819	-82.328	7978.181819	-79.667	7978.181819
-80.898	7981.818182	-82.317	7981.818182	-79.165	7981.818182
-82.005	7985.454546	-82.232	7985.454546	-80.084	7985.454546
-81.271	7989.09091	-82.139	7989.09091	-79.83	7989.09091
-81.287	7992.727273	-81.97	7992.727273	-79.507	7992.727273
-81.4	7996.363637	-82.023	7996.363637	-79.331	7996.363637
-80.731	8000.000001	-81.94	8000.000001	-79.282	8000.000001
-81.01	8003.636364	-81.818	8003.636364	-79.466	8003.636364
-81.441	8007.272728	-81.874	8007.272728	-79.171	8007.272728
-81.513	8010.909091	-82.169	8010.909091	-79.789	8010.909091
-81.194	8014.545455	-81.985	8014.545455	-78.825	8014.545455
-80.777	8018.181819	-81.636	8018.181819	-79.765	8018.181819
-81.535	8021.818182	-82.281	8021.818182	-79.339	8021.818182
-81.09	8025.454546	-82.606	8025.454546	-79.088	8025.454546
-81.33	8029.09091	-82.09	8029.09091	-78.998	8029.09091
-81.446	8032.727273	-82.032	8032.727273	-79.522	8032.727273
-81.596	8036.363637	-82.016	8036.363637	-79.265	8036.363637
-81.184	8040.000001	-82.225	8040.000001	-79.182	8040.000001
-80.811	8043.636364	-82.198	8043.636364	-79.157	8043.636364
-81.216	8047.272728	-82.577	8047.272728	-79.339	8047.272728
-81.335	8050.909091	-82.342	8050.909091	-79.837	8050.909091
-81.538	8054.545455	-82.578	8054.545455	-78.738	8054.545455
-81.609	8058.181819	-82.091	8058.181819	-79.231	8058.181819
-81.192	8061.818182	-82.014	8061.818182	-79.308	8061.818182
-80.917	8065.454546	-82.605	8065.454546	-80.137	8065.454546
-81.196	8069.09091	-82.691	8069.09091	-79.549	8069.09091
-81.756	8072.727273	-82.226	8072.727273	-79.886	8072.727273
-81.942	8076.363637	-82.158	8076.363637	-79.75	8076.363637
-81.512	8080.000001	-82.013	8080.000001	-79.029	8080.000001
-81.107	8083.636364	-82.387	8083.636364	-79.262	8083.636364
-80.526	8087.272728	-82.273	8087.272728	-79.23	8087.272728
-81.072	8090.909091	-81.998	8090.909091	-79.386	8090.909091
-80.885	8094.545455	-81.941	8094.545455	-79.182	8094.545455
-81.363	8098.181819	-82.575	8098.181819	-79.216	8098.181819
-81.421	8101.818182	-83.214	8101.818182	-79.053	8101.818182
-81.504	8105.454546	-81.611	8105.454546	-79.456	8105.454546
-80.987	8109.09091	-82.238	8109.09091	-79.643	8109.09091
-80.821	8112.727273	-82.103	8112.727273	-79.155	8112.727273
-80.875	8116.363637	-81.778	8116.363637	-79.644	8116.363637
-81.005	8120.000001	-81.996	8120.000001	-79.298	8120.000001
-81.591	8123.636364	-82.037	8123.636364	-79.688	8123.636364
-81.479	8127.272728	-82.683	8127.272728	-79.544	8127.272728
-81.596	8130.909091	-82.803	8130.909091	-79.887	8130.909091
-82.097	8134.545455	-82.824	8134.545455	-79.97	8134.545455
-81.527	8138.181819	-82.489	8138.181819	-80.049	8138.181819
